county,candidate,votes,numbers
Citrus,Donald Trump,15232,2
La Crosse,Bernie Sanders,15139,3
Charles,Hillary Clinton,15132,1
Frederick,Donald Trump,15076,2
Boone,Bernie Sanders,15076,3
Benton,Donald Trump,14943,2
Yakima,Donald Trump,14872,2
Shasta,Donald Trump,14822,2
Denver,Bernie Sanders,14624,3
Kenosha,Bernie Sanders,14612,3
Vanderburgh,Donald Trump,14544,2
Bay,Donald Trump,14426,2
McLennan,Ted Cruz,14285,5
Deschutes,Donald Trump,14264,2
Grafton,Bernie Sanders,14258,3
Mohave,Donald Trump,14154,2
Bell,Ted Cruz,13994,5
Kanawha,Donald Trump,13936,2
Rankin,Donald Trump,13729,2
Indian River,Donald Trump,13678,2
Hampton,Hillary Clinton,13529,1
Lebanon,Donald Trump,13490,2
Marathon,Ted Cruz,13414,5
Missoula,Bernie Sanders,13271,3
Humboldt,Bernie Sanders,13245,3
Rutherford,Donald Trump,13229,2
McLean,Ted Cruz,13085,5
Eau Claire,Bernie Sanders,13058,3
Comal,Ted Cruz,13004,5
Beaver,Hillary Clinton,12963,1
Bibb,Hillary Clinton,12944,1
Lycoming,Donald Trump,12898,2
Parker,Ted Cruz,12883,5
Blair,Donald Trump,12870,2
Iredell,Donald Trump,12861,2
Muscogee,Hillary Clinton,12801,1
Fond du Lac,Ted Cruz,12750,5
New Hanover,Donald Trump,12631,2
Randall,Ted Cruz,12593,5
Yolo,Hillary Clinton,12567,1
Harrison,Donald Trump,12555,2
Ellis,Ted Cruz,12546,5
Hall,Donald Trump,12536,2
Newport News,Hillary Clinton,12495,1
Cheshire,Bernie Sanders,12471,3
Hunterdon,Donald Trump,12450,2
Dutchess,Donald Trump,12447,2
Saginaw,Hillary Clinton,12348,1
DeSoto,Ted Cruz,12300,5
Sangamon,Ted Cruz,12261,5
Pinal,Donald Trump,12182,2
Tuscaloosa,Hillary Clinton,12136,1
Worcester,Hillary Clinton,12132,1
Tazewell,Ted Cruz,12085,5
Brazos,Ted Cruz,12049,5
Geauga,John Kasich,12034,4
Kootenai,Ted Cruz,11924,5
Atlantic,Donald Trump,11921,2
Pitt,Hillary Clinton,11856,1
Orangeburg,Hillary Clinton,11819,1
Brunswick,Donald Trump,11584,2
Ulster,Bernie Sanders,11572,3
Gaston,Donald Trump,11528,2
Honolulu,Bernie Sanders,11458,3
Peoria,Hillary Clinton,11341,1
Cabarrus,Donald Trump,11300,2
Saratoga,Donald Trump,11204,2
Canyon,Ted Cruz,11164,5
Boulder,Bernie Sanders,11142,3
Jasper,Ted Cruz,11113,5
Miami,John Kasich,11050,4
Catawba,Donald Trump,10991,2
Wood,John Kasich,10968,4
Anderson,Donald Trump,10953,2
Niagara,Donald Trump,10940,2
Portage,John Kasich,10921,4
Morgan,Donald Trump,10909,2
Oneida,Donald Trump,10832,2
Johnston,Ted Cruz,10826,5
Cambria,Donald Trump,10795,2
Walworth,Ted Cruz,10719,5
Flathead,Donald Trump,10642,2
Cullman,Donald Trump,10618,2
Christian,Ted Cruz,10586,5
Midland,Ted Cruz,10474,5
Dodge,Ted Cruz,10431,5
Josephine,Donald Trump,10325,2
Tippecanoe,Donald Trump,10296,2
Centre,Bernie Sanders,10269,3
Rock Island,Hillary Clinton,10216,1
Taylor,Ted Cruz,10160,5
Muskegon,Bernie Sanders,10062,3
Providence,Bernie Sanders,10006,3
Paulding,Donald Trump,10002,2
Beaufort,Hillary Clinton,9945,1
Adams,Donald Trump,9754,2
New Haven,Hillary Clinton,9710,1
Sumner,Donald Trump,9708,2
Flagler,Donald Trump,9684,2
Coweta,Donald Trump,9593,2
Hancock,Donald Trump,9520,2
LaPorte,Donald Trump,9494,2
Berkeley,Hillary Clinton,9471,1
Portsmouth,Hillary Clinton,9464,1
Sarpy,Donald Trump,9459,2
Florence,Hillary Clinton,9411,1
Rowan,Donald Trump,9369,2
Manitowoc,Ted Cruz,9320,5
